"wikidataURI","nama","tanggalLahir","tempatLahir","abstrak"
"http://www.wikidata.org/entity/Q12470538","Abdoel Hakim",,"Dutch East Indies",
"http://www.wikidata.org/entity/Q12470538","Abdoel Hakim",,"Tapanuli Residency",
"http://www.wikidata.org/entity/Q12470538","Abdoel Hakim",,"Padang",
"http://www.wikidata.org/entity/Q12470538","Abdoel Hakim",,"Tapanoeli Residency",
"http://www.wikidata.org/entity/Q4665497","Abdul Latief",1940-04-27,"Aceh",
"http://www.wikidata.org/entity/Q4665497","Abdul Latief",1940-04-27,"Banda Aceh",
"http://www.wikidata.org/entity/Q4665497","Abdul Latief",1940-04-27,"Dutch East Indies",
,"Achmad Amins",1947-07-03,"West Sulawesi",
"http://www.wikidata.org/entity/Q3498269","Agus Martowardojo",1956-01-24,"Amsterdam",
"http://www.wikidata.org/entity/Q3498269","Agus Martowardojo",1956-01-24,"Netherlands",
"http://www.wikidata.org/entity/Q12470972","Ahmad Syaikhu",1965-01-23,"Indonesia",
"http://www.wikidata.org/entity/Q12470972","Ahmad Syaikhu",1965-01-23,"Cirebon Regency",
"http://www.wikidata.org/entity/Q12470956","Ahmed Husein",1925-04-01,"Padang",
"http://www.wikidata.org/entity/Q12470956","Ahmed Husein",1925-04-01,"West Sumatra",
"http://www.wikidata.org/entity/Q12470956","Ahmed Husein",1925-04-01,"Dutch East Indies",
"http://www.wikidata.org/entity/Q19752868","Amran Sulaiman",1968-04-27,"South Sulawesi",
"http://www.wikidata.org/entity/Q19752868","Amran Sulaiman",1968-04-27,"Bone Regency",
"http://www.wikidata.org/entity/Q4647481","Anak Agung Ngurah Oka Ratmadi",1945-11-02,"Indonesia",
"http://www.wikidata.org/entity/Q4647481","Anak Agung Ngurah Oka Ratmadi",1945-11-02,"Bali (island)",
"http://www.wikidata.org/entity/Q4647481","Anak Agung Ngurah Oka Ratmadi",1945-11-02,"Bali",
"http://www.wikidata.org/entity/Q4647481","Anak Agung Ngurah Oka Ratmadi",1945-11-02,"Denpasar",
"http://www.wikidata.org/entity/Q16167068","Andika Hazrumy",1985-12-16,"West Java",
"http://www.wikidata.org/entity/Q16167068","Andika Hazrumy",1985-12-16,"Bandung",
"http://www.wikidata.org/entity/Q4259192","Armida Alisjahbana",1960-08-16,"Indonesia",
"http://www.wikidata.org/entity/Q4259192","Armida Alisjahbana",1960-08-16,"Jakarta",
"http://www.wikidata.org/entity/Q12275484","Bagindo Azizchan",1910-09-30,"Padang",
"http://www.wikidata.org/entity/Q12275484","Bagindo Azizchan",1910-09-30,"West Sumatra",
"http://www.wikidata.org/entity/Q12275484","Bagindo Azizchan",1910-09-30,"Dutch East Indies",
,"Bahal Raja Tua Tambunan",1974-02-23,"Indonesia",
,"Bahal Raja Tua Tambunan",1974-02-23,"North Sumatra",
,"Bahal Raja Tua Tambunan",1974-02-23,"Sidikalang",
"http://www.wikidata.org/entity/Q12475663","Ben Mboi",1935-05-22,"Dutch East Indies",
"http://www.wikidata.org/entity/Q12475663","Ben Mboi",1935-05-22,"Flores",
"http://www.wikidata.org/entity/Q12475663","Ben Mboi",1935-05-22,"Ruteng",
,"Budi Sulistiyo",1966-11-30,"Indonesia",
,"Budi Sulistiyo",1966-11-30,"Central Java",
,"Chatib Basri",1965-08-22,"Indonesia",
,"Chatib Basri",1965-08-22,"Jakarta",
"http://www.wikidata.org/entity/Q12478651","Christiandy Sanjaya",1964-03-29,"Indonesia",
"http://www.wikidata.org/entity/Q12478651","Christiandy Sanjaya",1964-03-29,"Singkawang",
"http://www.wikidata.org/entity/Q12478651","Christiandy Sanjaya",1964-03-29,"West Kalimantan",
,"Dahlan Jamaluddin",1980-08-26,"Aceh",
"http://www.wikidata.org/entity/Q12481562","Dino Patti Djalal",1965-09-10,"Belgrade",
"http://www.wikidata.org/entity/Q12481562","Dino Patti Djalal",1965-09-10,"Yugoslavia",
,"Eddy Kusnadi Sariaatmadja",1953-08-23,"Jakarta",
,"Edward Omar Sharif Hiariej",1973-04-10,"Indonesia",
,"Edward Omar Sharif Hiariej",1973-04-10,"Maluku (province)",
,"Edward Omar Sharif Hiariej",1973-04-10,"Ambon, Maluku",
"http://www.wikidata.org/entity/Q16176426","Eva Kusuma Sundari",1965-10-08,"Indonesia",
"http://www.wikidata.org/entity/Q16176426","Eva Kusuma Sundari",1965-10-08,"Nganjuk Regency",
,"Faisol Riza",1973-01-01,"East Java",
,"Faisol Riza",1973-01-01,"Probolinggo Regency",
,"Faisol Riza",1973-01-01,"Kraksaan",
"http://www.wikidata.org/entity/Q87740130","Franciscus Conradus Palaunsoeka",1922-05-19,"West Kalimantan",
"http://www.wikidata.org/entity/Q87740130","Franciscus Conradus Palaunsoeka",1922-05-19,"Dutch East Indies",
"http://www.wikidata.org/entity/Q87740130","Franciscus Conradus Palaunsoeka",1922-05-19,"Kapuas Hulu Regency",
"http://www.wikidata.org/entity/Q87740130","Franciscus Conradus Palaunsoeka",1922-05-19,"South Putussibau",
"http://www.wikidata.org/entity/Q20426475","Frits Johanes ""Broer"" Tumbelaka",1921-03-07,"West Sumatra",
"http://www.wikidata.org/entity/Q20426475","Frits Johanes ""Broer"" Tumbelaka",1921-03-07,"Dutch East Indies",
,"Hasbi Abdullah",1946-11-01,"Aceh",
,"Hasbi Abdullah",1946-11-01,"Indonesia",
,"Hasbi Abdullah",1946-11-01,"Pidie Regency",
"http://www.wikidata.org/entity/Q6065914","Herbowo",1935-07-03,"Dutch East Indies",
"http://www.wikidata.org/entity/Q6065914","Herbowo",1935-07-03,"Semarang",
"http://www.wikidata.org/entity/Q12485004","Husein Mutahar",1916-08-05,"Dutch East Indies",
"http://www.wikidata.org/entity/Q12485004","Husein Mutahar",1916-08-05,"Semarang",
"http://www.wikidata.org/entity/Q54805204","I Wayan Koster",1962-10-20,"Indonesia",
"http://www.wikidata.org/entity/Q54805204","I Wayan Koster",1962-10-20,"Bali (island)",
"http://www.wikidata.org/entity/Q54805204","I Wayan Koster",1962-10-20,"Bali",
"http://www.wikidata.org/entity/Q54805204","I Wayan Koster",1962-10-20,"Buleleng Regency",
"http://www.wikidata.org/entity/Q54805204","I Wayan Koster",1962-10-20,"Tejakula, Buleleng",
"http://www.wikidata.org/entity/Q108764217","Ida Bagus Putra Manuaba",1965-03-16,"Indonesia",
"http://www.wikidata.org/entity/Q108764217","Ida Bagus Putra Manuaba",1965-03-16,"Bali (island)",
"http://www.wikidata.org/entity/Q108764217","Ida Bagus Putra Manuaba",1965-03-16,"Bali",
"http://www.wikidata.org/entity/Q108764217","Ida Bagus Putra Manuaba",1965-03-16,"Tabanan Regency",
,"Iyeth Bustami",1973-08-24,"Indonesia",
,"Iyeth Bustami",1973-08-24,"Riau",
,"Iyeth Bustami",1973-08-24,"Bengkalis",
"http://www.wikidata.org/entity/Q65211779","Jefri Riwu Kore",1960-01-13,"East Nusa Tenggara",
"http://www.wikidata.org/entity/Q65211779","Jefri Riwu Kore",1960-01-13,"Kupang",
"http://www.wikidata.org/entity/Q59245740","João da Silva Tavares",1931-04-06,"Portuguese Timor",
"http://www.wikidata.org/entity/Q59245740","João da Silva Tavares",1931-04-06,"Bobonaro",
"http://www.wikidata.org/entity/Q59245740","João da Silva Tavares",1931-04-06,"Atabae",
,"Lukas Rumkorem",,"Biak Numfor Regency",
,"Lukas Rumkorem",,"Dutch New Guinea",
,"Luthfi Dahlan",1945-02-28,"East Java",
,"Luthfi Dahlan",1945-02-28,"Porong",
,"Luthfi Dahlan",1945-02-28,"Dutch East Indies",
,"Luthfi Dahlan",1945-02-28,"Sidoarjo Regency",
,"M.",1964-08-10,"Bukittinggi",
,"M.",1964-08-10,"West Sumatra",
"http://www.wikidata.org/entity/Q12496110","Mahendra Siregar",1962-10-17,"Indonesia",
"http://www.wikidata.org/entity/Q12496110","Mahendra Siregar",1962-10-17,"Jakarta",
"http://www.wikidata.org/entity/Q96091849","Mangaradja Sinaga",,"Samosir",
"http://www.wikidata.org/entity/Q96091849","Mangaradja Sinaga",,"Dutch East Indies",
"http://www.wikidata.org/entity/Q3502322","Mari Elka Pangestu",1956-10-23,"Indonesia",
"http://www.wikidata.org/entity/Q3502322","Mari Elka Pangestu",1956-10-23,"Jakarta",
,"Mas Sarbini Martodihardjo",1914-06-10,"Central Java",
,"Mas Sarbini Martodihardjo",1914-06-10,"Dutch East Indies",
"http://www.wikidata.org/entity/Q18421366","Mohamad Nasir",1960-06-27,"Indonesia",
,"Mohammad Ali",1912-08-17,"Sukabumi",
,"Mohammad Ali",1912-08-17,"Dutch East Indies",
"http://www.wikidata.org/entity/Q18421350","Mohammad Syafaat Mintaredja",1921-02-17,"West Java",
"http://www.wikidata.org/entity/Q18421350","Mohammad Syafaat Mintaredja",1921-02-17,"Dutch East Indies",
"http://www.wikidata.org/entity/Q18421350","Mohammad Syafaat Mintaredja",1921-02-17,"Bogor",
"http://www.wikidata.org/entity/Q74262470","Muhamad bin Salim Alatas",1979-03-10,"Indonesia",
"http://www.wikidata.org/entity/Q74262470","Muhamad bin Salim Alatas",1979-03-10,"Jakarta",
"http://www.wikidata.org/entity/Q12486744","Muhammad Iqbal Assegaf",1957-10-12,"North Maluku",
"http://www.wikidata.org/entity/Q12486744","Muhammad Iqbal Assegaf",1957-10-12,"Labuha",
"http://www.wikidata.org/entity/Q12486744","Muhammad Iqbal Assegaf",1957-10-12,"South Halmahera Regency",
"http://www.wikidata.org/entity/Q12486744","Muhammad Iqbal Assegaf",1957-10-12,"Bacan Islands",
,"Muhammad Yus",1954-08-02,"Aceh",
,"Muhammad Yus",1954-08-02,"Indonesia",
,"Muhammad Yus",1954-08-02,"Pidie Regency",
,"Muhsin Syihab",1970-06-05,"Indonesia",
,"Muhsin Syihab",1970-06-05,"East Java",
,"Muhsin Syihab",1970-06-05,"Sumenep Regency",
,"Muhsin Syihab",1970-06-05,"Madura",
"http://www.wikidata.org/entity/Q68462553","Nerus Ginting Suka",,"Kabanjahe",
"http://www.wikidata.org/entity/Q68462553","Nerus Ginting Suka",,"State of East Sumatra",
"http://www.wikidata.org/entity/Q68462553","Nerus Ginting Suka",,"Dutch East Indies",
,"Njono",1925-08-28,"Dutch East Indies",
,"Njono",1925-08-28,"Cilacap Regency",
,"Oetomo Ramelan",1919-01-09,"Dutch East Indies",
,"Oetomo Ramelan",1919-01-09,"Sragen Regency",
,"Ova Emilia",1964-02-19,"Indonesia",
,"Ova Emilia",1964-02-19,"Special Region of Yogyakarta",
,"Ova Emilia",1964-02-19,"Yogyakarta",
,"Paskalis Imadawa",1969-04-06,"Indonesia",
,"Paskalis Imadawa",1969-04-06,"Western New Guinea",
,"Paskalis Imadawa",1969-04-06,"Merauke Regency",
"http://www.wikidata.org/entity/Q51417348","Perry Warjiyo",1959-02-25,"Indonesia",
"http://www.wikidata.org/entity/Q51417348","Perry Warjiyo",1959-02-25,"Central Java",
"http://www.wikidata.org/entity/Q51417348","Perry Warjiyo",1959-02-25,"Sukoharjo Regency",
"http://www.wikidata.org/entity/Q17410540","Purwoto Gandasubrata",1929-10-11,"Indonesia",
"http://www.wikidata.org/entity/Q17410540","Purwoto Gandasubrata",1929-10-11,"Central Java",
"http://www.wikidata.org/entity/Q17410540","Purwoto Gandasubrata",1929-10-11,"Purwokerto",
,"Rasyid Bancin",1986-04-05,"Aceh",
,"Ridwan Abubakar",1964-12-04,"Aceh",
,"Ridwan Abubakar",1964-12-04,"Indonesia",
,"Ridwan Abubakar",1964-12-04,"East Aceh Regency",
,"Rina Soemarno",1964-10-09,"Indonesia",
,"Rina Soemarno",1964-10-09,"Jakarta",
,"Safaruddin",1983-03-17,"Aceh",
,"Safaruddin",1983-03-17,"Indonesia",
,"Saiful Bahri A. Djalil",1977-07-17,"Aceh",
,"Saiful Bahri A. Djalil",1977-07-17,"Indonesia",
,"Saiful Bahri A. Djalil",1977-07-17,"North Aceh Regency",
"http://www.wikidata.org/entity/Q4202141","Sam Ratulangi",1890-11-05,"North Sulawesi",
"http://www.wikidata.org/entity/Q4202141","Sam Ratulangi",1890-11-05,"Dutch East Indies",
"http://www.wikidata.org/entity/Q4202141","Sam Ratulangi",1890-11-05,"Tondano",
"http://www.wikidata.org/entity/Q18421412","Samsul Hadi",1959-04-23,"East Java",
"http://www.wikidata.org/entity/Q18421412","Samsul Hadi",1959-04-23,"Banyuwangi Regency",
,"Saparinah Sadli",1926-08-24,"Central Java",
,"Saparinah Sadli",1926-08-24,"Dutch East Indies",
"http://www.wikidata.org/entity/Q96007539","Sarimin Reksodihardjo",1905-07-17,"Dutch East Indies",
"http://www.wikidata.org/entity/Q96007539","Sarimin Reksodihardjo",1905-07-17,"Wonosobo Regency",
"http://www.wikidata.org/entity/Q25465997","Sutan Mohammad Amin Nasution",1904-02-22,"Aceh",
"http://www.wikidata.org/entity/Q25465997","Sutan Mohammad Amin Nasution",1904-02-22,"Lhoknga",
"http://www.wikidata.org/entity/Q25465997","Sutan Mohammad Amin Nasution",1904-02-22,"Aceh Besar Regency",
,"Wibi Andrino",1986-04-15,"Aceh",
,"Wibi Andrino",1986-04-15,"Indonesia",
,"Wibi Andrino",1986-04-15,"Lhokseumawe",
"http://www.wikidata.org/entity/Q96415968","Zainal Abidin",,,
